Attractiveness label,Standard Deviation,Files
2.614,0.79,./SCUT_FBP/SCUT-FBP-1.jpg
3.357,0.82,./SCUT_FBP/SCUT-FBP-2.jpg
2.458,0.79,./SCUT_FBP/SCUT-FBP-3.jpg
2.757,0.67,./SCUT_FBP/SCUT-FBP-4.jpg
2.493,0.63,./SCUT_FBP/SCUT-FBP-5.jpg
2.62,0.85,./SCUT_FBP/SCUT-FBP-6.jpg
2.817,0.83,./SCUT_FBP/SCUT-FBP-7.jpg
2.229,0.62,./SCUT_FBP/SCUT-FBP-8.jpg
3,0.81,./SCUT_FBP/SCUT-FBP-9.jpg
3.194,0.74,./SCUT_FBP/SCUT-FBP-10.jpg
2.657,0.74,./SCUT_FBP/SCUT-FBP-11.jpg
2.549,0.69,./SCUT_FBP/SCUT-FBP-12.jpg
2.803,0.9,./SCUT_FBP/SCUT-FBP-13.jpg
2.314,0.75,./SCUT_FBP/SCUT-FBP-14.jpg
2.113,0.69,./SCUT_FBP/SCUT-FBP-15.jpg
2.643,0.7,./SCUT_FBP/SCUT-FBP-16.jpg
2.278,0.59,./SCUT_FBP/SCUT-FBP-17.jpg
2.592,0.69,./SCUT_FBP/SCUT-FBP-18.jpg
3.056,0.75,./SCUT_FBP/SCUT-FBP-19.jpg
3.347,0.77,./SCUT_FBP/SCUT-FBP-20.jpg
2.845,0.86,./SCUT_FBP/SCUT-FBP-21.jpg
2.648,0.68,./SCUT_FBP/SCUT-FBP-22.jpg
2.629,0.82,./SCUT_FBP/SCUT-FBP-23.jpg
2.671,0.74,./SCUT_FBP/SCUT-FBP-24.jpg
2.157,0.63,./SCUT_FBP/SCUT-FBP-25.jpg
2.857,0.75,./SCUT_FBP/SCUT-FBP-26.jpg
2.286,0.64,./SCUT_FBP/SCUT-FBP-27.jpg
2.746,0.79,./SCUT_FBP/SCUT-FBP-28.jpg
2.451,0.6,./SCUT_FBP/SCUT-FBP-29.jpg
2.479,0.67,./SCUT_FBP/SCUT-FBP-30.jpg
2.486,0.79,./SCUT_FBP/SCUT-FBP-31.jpg
2.915,0.82,./SCUT_FBP/SCUT-FBP-32.jpg
2.915,0.69,./SCUT_FBP/SCUT-FBP-33.jpg
3.055,0.7,./SCUT_FBP/SCUT-FBP-34.jpg
3.814,0.97,./SCUT_FBP/SCUT-FBP-35.jpg
3.192,1.02,./SCUT_FBP/SCUT-FBP-36.jpg
3.657,0.87,./SCUT_FBP/SCUT-FBP-37.jpg
3.153,1.07,./SCUT_FBP/SCUT-FBP-38.jpg
4.043,0.73,./SCUT_FBP/SCUT-FBP-39.jpg
4.528,0.79,./SCUT_FBP/SCUT-FBP-40.jpg
2.957,0.98,./SCUT_FBP/SCUT-FBP-41.jpg
3.575,0.86,./SCUT_FBP/SCUT-FBP-42.jpg
3.042,0.8,./SCUT_FBP/SCUT-FBP-43.jpg
2.62,0.68,./SCUT_FBP/SCUT-FBP-44.jpg
3.324,0.97,./SCUT_FBP/SCUT-FBP-45.jpg
4.171,0.72,./SCUT_FBP/SCUT-FBP-46.jpg
3.871,0.88,./SCUT_FBP/SCUT-FBP-47.jpg
4.143,0.75,./SCUT_FBP/SCUT-FBP-48.jpg
3.761,0.85,./SCUT_FBP/SCUT-FBP-49.jpg
4.056,0.79,./SCUT_FBP/SCUT-FBP-50.jpg
3.472,1.02,./SCUT_FBP/SCUT-FBP-51.jpg
3.836,0.87,./SCUT_FBP/SCUT-FBP-52.jpg
3.732,0.77,./SCUT_FBP/SCUT-FBP-53.jpg
3.371,0.87,./SCUT_FBP/SCUT-FBP-54.jpg
2.643,0.74,./SCUT_FBP/SCUT-FBP-55.jpg
3.514,0.9,./SCUT_FBP/SCUT-FBP-56.jpg
4.143,0.84,./SCUT_FBP/SCUT-FBP-57.jpg
4.083,0.75,./SCUT_FBP/SCUT-FBP-58.jpg
2.757,0.71,./SCUT_FBP/SCUT-FBP-59.jpg
2.775,0.76,./SCUT_FBP/SCUT-FBP-60.jpg
2.529,0.68,./SCUT_FBP/SCUT-FBP-61.jpg
2.457,0.61,./SCUT_FBP/SCUT-FBP-62.jpg
2.268,0.58,./SCUT_FBP/SCUT-FBP-63.jpg
2.569,0.73,./SCUT_FBP/SCUT-FBP-64.jpg
2.329,0.58,./SCUT_FBP/SCUT-FBP-65.jpg
2.529,0.65,./SCUT_FBP/SCUT-FBP-66.jpg
2.62,0.72,./SCUT_FBP/SCUT-FBP-67.jpg
2.577,0.62,./SCUT_FBP/SCUT-FBP-68.jpg
2.873,0.81,./SCUT_FBP/SCUT-FBP-69.jpg
3.5,0.7,./SCUT_FBP/SCUT-FBP-70.jpg
2.557,0.65,./SCUT_FBP/SCUT-FBP-71.jpg
3.029,0.72,./SCUT_FBP/SCUT-FBP-72.jpg
2.486,0.72,./SCUT_FBP/SCUT-FBP-73.jpg
2.429,0.69,./SCUT_FBP/SCUT-FBP-74.jpg
2.113,0.67,./SCUT_FBP/SCUT-FBP-75.jpg
2.957,0.77,./SCUT_FBP/SCUT-FBP-76.jpg
2.889,0.83,./SCUT_FBP/SCUT-FBP-77.jpg
3.129,0.7,./SCUT_FBP/SCUT-FBP-78.jpg
2.718,0.72,./SCUT_FBP/SCUT-FBP-79.jpg
2.629,0.66,./SCUT_FBP/SCUT-FBP-80.jpg
2.873,0.75,./SCUT_FBP/SCUT-FBP-81.jpg
2.843,0.71,./SCUT_FBP/SCUT-FBP-82.jpg
3.086,0.79,./SCUT_FBP/SCUT-FBP-83.jpg
2.714,0.74,./SCUT_FBP/SCUT-FBP-84.jpg
2.93,0.85,./SCUT_FBP/SCUT-FBP-85.jpg
2.443,0.65,./SCUT_FBP/SCUT-FBP-86.jpg
3.086,0.9,./SCUT_FBP/SCUT-FBP-87.jpg
2.986,0.79,./SCUT_FBP/SCUT-FBP-88.jpg
3.186,0.8,./SCUT_FBP/SCUT-FBP-89.jpg
3.042,0.8,./SCUT_FBP/SCUT-FBP-90.jpg
2.614,0.6,./SCUT_FBP/SCUT-FBP-91.jpg
2.268,0.56,./SCUT_FBP/SCUT-FBP-92.jpg
2.667,0.61,./SCUT_FBP/SCUT-FBP-93.jpg
2.667,0.68,./SCUT_FBP/SCUT-FBP-94.jpg
2.391,0.55,./SCUT_FBP/SCUT-FBP-95.jpg
2.714,0.78,./SCUT_FBP/SCUT-FBP-96.jpg
2.817,0.83,./SCUT_FBP/SCUT-FBP-97.jpg
2.971,0.75,./SCUT_FBP/SCUT-FBP-98.jpg
2.87,0.62,./SCUT_FBP/SCUT-FBP-99.jpg
3.127,0.81,./SCUT_FBP/SCUT-FBP-100.jpg
4.516,0.59,./SCUT_FBP/SCUT-FBP-101.jpg
4.563,0.69,./SCUT_FBP/SCUT-FBP-102.jpg
4.656,0.51,./SCUT_FBP/SCUT-FBP-103.jpg
4.656,0.51,./SCUT_FBP/SCUT-FBP-104.jpg
4.69,0.62,./SCUT_FBP/SCUT-FBP-105.jpg
4.359,0.65,./SCUT_FBP/SCUT-FBP-106.jpg
4.535,0.61,./SCUT_FBP/SCUT-FBP-107.jpg
4.479,0.69,./SCUT_FBP/SCUT-FBP-108.jpg
3.5,0.84,./SCUT_FBP/SCUT-FBP-109.jpg
4.889,0.43,./SCUT_FBP/SCUT-FBP-110.jpg
4.343,0.66,./SCUT_FBP/SCUT-FBP-111.jpg
1.375,0.52,./SCUT_FBP/SCUT-FBP-112.jpg
2.453,0.59,./SCUT_FBP/SCUT-FBP-113.jpg
1.586,0.58,./SCUT_FBP/SCUT-FBP-114.jpg
1.676,0.5,./SCUT_FBP/SCUT-FBP-115.jpg
3.125,0.75,./SCUT_FBP/SCUT-FBP-116.jpg
3.109,0.65,./SCUT_FBP/SCUT-FBP-117.jpg
3.125,0.75,./SCUT_FBP/SCUT-FBP-118.jpg
2.338,0.74,./SCUT_FBP/SCUT-FBP-119.jpg
3.531,0.73,./SCUT_FBP/SCUT-FBP-120.jpg
2.5,0.71,./SCUT_FBP/SCUT-FBP-121.jpg
2.547,0.73,./SCUT_FBP/SCUT-FBP-122.jpg
3.343,0.88,./SCUT_FBP/SCUT-FBP-123.jpg
4.032,0.77,./SCUT_FBP/SCUT-FBP-124.jpg
3.2,0.88,./SCUT_FBP/SCUT-FBP-125.jpg
3.056,0.77,./SCUT_FBP/SCUT-FBP-126.jpg
2.9,0.82,./SCUT_FBP/SCUT-FBP-127.jpg
2.25,0.73,./SCUT_FBP/SCUT-FBP-128.jpg
2.457,0.63,./SCUT_FBP/SCUT-FBP-129.jpg
2.3,0.73,./SCUT_FBP/SCUT-FBP-130.jpg
2.771,0.76,./SCUT_FBP/SCUT-FBP-131.jpg
2.718,0.72,./SCUT_FBP/SCUT-FBP-132.jpg
4.718,0.45,./SCUT_FBP/SCUT-FBP-133.jpg
2.873,0.74,./SCUT_FBP/SCUT-FBP-134.jpg
3.114,0.91,./SCUT_FBP/SCUT-FBP-135.jpg
2.729,0.7,./SCUT_FBP/SCUT-FBP-136.jpg
3.296,0.8,./SCUT_FBP/SCUT-FBP-137.jpg
2.543,0.7,./SCUT_FBP/SCUT-FBP-138.jpg
2.743,0.76,./SCUT_FBP/SCUT-FBP-139.jpg
2.186,0.49,./SCUT_FBP/SCUT-FBP-140.jpg
2.592,0.65,./SCUT_FBP/SCUT-FBP-141.jpg
4.514,0.78,./SCUT_FBP/SCUT-FBP-142.jpg
3.029,0.76,./SCUT_FBP/SCUT-FBP-143.jpg
2.54,0.64,./SCUT_FBP/SCUT-FBP-144.jpg
3.25,0.71,./SCUT_FBP/SCUT-FBP-145.jpg
2.857,0.75,./SCUT_FBP/SCUT-FBP-146.jpg
2.352,0.63,./SCUT_FBP/SCUT-FBP-147.jpg
2.486,0.65,./SCUT_FBP/SCUT-FBP-148.jpg
2.859,0.76,./SCUT_FBP/SCUT-FBP-149.jpg
2.324,0.6,./SCUT_FBP/SCUT-FBP-150.jpg
2.929,0.8,./SCUT_FBP/SCUT-FBP-151.jpg
2.429,0.73,./SCUT_FBP/SCUT-FBP-152.jpg
2.014,0.55,./SCUT_FBP/SCUT-FBP-153.jpg
1.543,0.58,./SCUT_FBP/SCUT-FBP-154.jpg
2.211,0.63,./SCUT_FBP/SCUT-FBP-155.jpg
